ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/198,[ENG] SV01 Scarlet Violet Base Set: 001/198 Pineco C (Non-Foil),Pineco C (Non-Foil),0.5,0.0,0.5
001/198,[ENG] SV01 Scarlet Violet Base Set: 001/198 Pineco C (Reverse Holo),Pineco C (Reverse Holo),1.0,0.0,1.0
002/198,[ENG] SV01 Scarlet Violet Base Set: 002/198 Heracross U (Non-Foil),Heracross U (Non-Foil),0.9,-0.4,0.5
002/198,[ENG] SV01 Scarlet Violet Base Set: 002/198 Heracross U (Reverse Holo),Heracross U (Reverse Holo),1.0,0.0,1.0
003/198,[ENG] SV01 Scarlet Violet Base Set: 003/198 Shroomish C (Non-Foil),Shroomish C (Non-Foil),0.5,0.0,0.5
003/198,[ENG] SV01 Scarlet Violet Base Set: 003/198 Shroomish C (Reverse Holo),Shroomish C (Reverse Holo),1.0,0.0,1.0
004/198,[ENG] SV01 Scarlet Violet Base Set: 004/198 Breloom U (Non-Foil),Breloom U (Non-Foil),0.5,0.0,0.5
004/198,[ENG] SV01 Scarlet Violet Base Set: 004/198 Breloom U (Reverse Holo),Breloom U (Reverse Holo),1.0,0.0,1.0
005/198,[ENG] SV01 Scarlet Violet Base Set: 005/198 Cacnea C (Non-Foil),Cacnea C (Non-Foil),0.5,0.0,0.5
005/198,[ENG] SV01 Scarlet Violet Base Set: 005/198 Cacnea C (Reverse Holo),Cacnea C (Reverse Holo),1.0,0.0,1.0
006/198,[ENG] SV01 Scarlet Violet Base Set: 006/198 Cacturne U (Non-Foil),Cacturne U (Non-Foil),0.5,0.0,0.5
006/198,[ENG] SV01 Scarlet Violet Base Set: 006/198 Cacturne U (Reverse Holo),Cacturne U (Reverse Holo),1.0,0.0,1.0
007/198,[ENG] SV01 Scarlet Violet Base Set: 007/198 Tropius C (Non-Foil),Tropius C (Non-Foil),0.5,0.0,0.5
007/198,[ENG] SV01 Scarlet Violet Base Set: 007/198 Tropius C (Reverse Holo),Tropius C (Reverse Holo),1.0,0.0,1.0
008/198,[ENG] SV01 Scarlet Violet Base Set: 008/198 Scatterbug C (Non-Foil),Scatterbug C (Non-Foil),0.5,0.0,0.5
008/198,[ENG] SV01 Scarlet Violet Base Set: 008/198 Scatterbug C (Reverse Holo),Scatterbug C (Reverse Holo),1.0,0.0,1.0
009/198,[ENG] SV01 Scarlet Violet Base Set: 009/198 Spewpa C (Non-Foil),Spewpa C (Non-Foil),0.5,0.0,0.5
009/198,[ENG] SV01 Scarlet Violet Base Set: 009/198 Spewpa C (Reverse Holo),Spewpa C (Reverse Holo),1.0,0.0,1.0
010/198,[ENG] SV01 Scarlet Violet Base Set: 010/198 Vivillon U (Non-Foil),Vivillon U (Non-Foil),0.5,0.0,0.5
010/198,[ENG] SV01 Scarlet Violet Base Set: 010/198 Vivillon U (Reverse Holo),Vivillon U (Reverse Holo),1.0,0.0,1.0
011/198,[ENG] SV01 Scarlet Violet Base Set: 011/198 Skiddo C (Non-Foil),Skiddo C (Non-Foil),0.5,0.0,0.5
011/198,[ENG] SV01 Scarlet Violet Base Set: 011/198 Skiddo C (Reverse Holo),Skiddo C (Reverse Holo),1.0,0.0,1.0
012/198,[ENG] SV01 Scarlet Violet Base Set: 012/198 Gogoat C (Non-Foil),Gogoat C (Non-Foil),0.5,0.0,0.5
012/198,[ENG] SV01 Scarlet Violet Base Set: 012/198 Gogoat C (Reverse Holo),Gogoat C (Reverse Holo),1.0,0.0,1.0
013/198,[ENG] SV01 Scarlet Violet Base Set: 013/198 Sprigatito C (Non-Foil),Sprigatito C (Non-Foil),0.5,0.0,0.5
013/198,[ENG] SV01 Scarlet Violet Base Set: 013/198 Sprigatito C (Reverse Holo),Sprigatito C (Reverse Holo),1.0,0.0,1.0
014/198,[ENG] SV01 Scarlet Violet Base Set: 014/198 Floragato U (Non-Foil),Floragato U (Non-Foil),0.5,0.0,0.5
014/198,[ENG] SV01 Scarlet Violet Base Set: 014/198 Floragato U (Reverse Holo),Floragato U (Reverse Holo),1.5,-0.5,1.0
015/198,[ENG] SV01 Scarlet Violet Base Set: 015/198 Meowscarada R (Foil),Meowscarada R (Foil),0.8,-0.30000000000000004,0.5
015/198,[ENG] SV01 Scarlet Violet Base Set: 015/198 Meowscarada R (Reverse Holo),Meowscarada R (Reverse Holo),1.0,0.0,1.0
016/198,[ENG] SV01 Scarlet Violet Base Set: 016/198 Tarountula C (Non-Foil),Tarountula C (Non-Foil),0.5,0.0,0.5
016/198,[ENG] SV01 Scarlet Violet Base Set: 016/198 Tarountula C (Reverse Holo),Tarountula C (Reverse Holo),1.0,0.0,1.0
017/198,[ENG] SV01 Scarlet Violet Base Set: 017/198 Tarountula C (Non-Foil),Tarountula C (Non-Foil),0.6,-0.09999999999999998,0.5
017/198,[ENG] SV01 Scarlet Violet Base Set: 017/198 Tarountula C (Reverse Holo),Tarountula C (Reverse Holo),1.0,0.0,1.0
018/198,[ENG] SV01 Scarlet Violet Base Set: 018/198 Tarountula C (Non-Foil),Tarountula C (Non-Foil),0.5,0.0,0.5
