ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/182,[ENG]	SV04	Paradox Rift:	001/182	Surskit	C	(Non-Foil),Surskit C (Non-Foil),0.5,0.0,0.5
001/182,[ENG]	SV04	Paradox Rift:	001/182	Surskit	C	(Reverse Holo),Surskit C (Reverse Holo),1.0,0.0,1.0
002/182,[ENG]	SV04	Paradox Rift:	002/182	Masquerain	U	(Non-Foil),Masquerain U (Non-Foil),0.5,0.0,0.5
002/182,[ENG]	SV04	Paradox Rift:	002/182	Masquerain	U	(Reverse Holo),Masquerain U (Reverse Holo),1.0,0.0,1.0
003/182,[ENG]	SV04	Paradox Rift:	003/182	Froslass ex	RR	(Foil),Froslass ex RR (Foil),0.5,1.5,2.0
004/182,[ENG]	SV04	Paradox Rift:	004/182	Pansage	C	(Non-Foil),Pansage C (Non-Foil),0.5,0.0,0.5
004/182,[ENG]	SV04	Paradox Rift:	004/182	Pansage	C	(Reverse Holo),Pansage C (Reverse Holo),1.0,0.0,1.0
005/182,[ENG]	SV04	Paradox Rift:	005/182	Simisage	U	(Non-Foil),Simisage U (Non-Foil),0.5,0.0,0.5
005/182,[ENG]	SV04	Paradox Rift:	005/182	Simisage	U	(Reverse Holo),Simisage U (Reverse Holo),1.0,0.0,1.0
006/182,[ENG]	SV04	Paradox Rift:	006/182	Dwebble	C	(Non-Foil),Dwebble C (Non-Foil),0.5,0.0,0.5
006/182,[ENG]	SV04	Paradox Rift:	006/182	Dwebble	C	(Reverse Holo),Dwebble C (Reverse Holo),1.0,0.0,1.0
007/182,[ENG]	SV04	Paradox Rift:	007/182	Crustle	C	(Non-Foil),Crustle C (Non-Foil),0.5,0.0,0.5
007/182,[ENG]	SV04	Paradox Rift:	007/182	Crustle	C	(Reverse Holo),Crustle C (Reverse Holo),1.0,0.0,1.0
008/182,[ENG]	SV04	Paradox Rift:	008/182	Bounsweet	C	(Non-Foil),Bounsweet C (Non-Foil),0.5,0.09999999999999998,0.6
008/182,[ENG]	SV04	Paradox Rift:	008/182	Bounsweet	C	(Reverse Holo),Bounsweet C (Reverse Holo),1.0,0.0,1.0
009/182,[ENG]	SV04	Paradox Rift:	009/182	Steenee	U	(Non-Foil),Steenee U (Non-Foil),0.5,0.0,0.5
009/182,[ENG]	SV04	Paradox Rift:	009/182	Steenee	U	(Reverse Holo),Steenee U (Reverse Holo),1.0,0.0,1.0
010/182,[ENG]	SV04	Paradox Rift:	010/182	Blipbug	C	(Non-Foil),Blipbug C (Non-Foil),0.5,0.0,0.5
010/182,[ENG]	SV04	Paradox Rift:	010/182	Blipbug	C	(Reverse Holo),Blipbug C (Reverse Holo),1.0,0.0,1.0
011/182,[ENG]	SV04	Paradox Rift:	011/182	Dottler	C	(Non-Foil),Dottler C (Non-Foil),0.5,0.0,0.5
011/182,[ENG]	SV04	Paradox Rift:	011/182	Dottler	C	(Reverse Holo),Dottler C (Reverse Holo),1.0,0.0,1.0
012/182,[ENG]	SV04	Paradox Rift:	012/182	Orbeetle	U	(Non-Foil),Orbeetle U (Non-Foil),0.5,0.0,0.5
012/182,[ENG]	SV04	Paradox Rift:	012/182	Orbeetle	U	(Reverse Holo),Orbeetle U (Reverse Holo),1.0,0.0,1.0
013/182,[ENG]	SV04	Paradox Rift:	013/182	Nymble	C	(Non-Foil),Nymble C (Non-Foil),0.5,0.0,0.5
013/182,[ENG]	SV04	Paradox Rift:	013/182	Nymble	C	(Reverse Holo),Nymble C (Reverse Holo),1.0,0.0,1.0
014/182,[ENG]	SV04	Paradox Rift:	014/182	Nymble	C	(Non-Foil),Nymble C (Non-Foil),0.5,0.0,0.5
014/182,[ENG]	SV04	Paradox Rift:	014/182	Nymble	C	(Reverse Holo),Nymble C (Reverse Holo),1.0,0.0,1.0
015/182,[ENG]	SV04	Paradox Rift:	015/182	Toedscool	C	(Non-Foil),Toedscool C (Non-Foil),0.5,0.0,0.5
015/182,[ENG]	SV04	Paradox Rift:	015/182	Toedscool	C	(Reverse Holo),Toedscool C (Reverse Holo),1.0,0.0,1.0
