ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/162,[ENG]	SV05	Temporal Forces:	001/162	Scyther	[Grass]	[C - Common]	(Non-Foil),Scyther [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
001/162,[ENG]	SV05	Temporal Forces:	001/162	Scyther	[Grass]	[C - Common]	(Reverse Holo),Scyther [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
002/162,[ENG]	SV05	Temporal Forces:	002/162	Pineco	[Grass]	[C - Common]	(Non-Foil),Pineco [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
002/162,[ENG]	SV05	Temporal Forces:	002/162	Pineco	[Grass]	[C - Common]	(Reverse Holo),Pineco [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
003/162,[ENG]	SV05	Temporal Forces:	003/162	Seedot	[Grass]	[C - Common]	(Non-Foil),Seedot [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
003/162,[ENG]	SV05	Temporal Forces:	003/162	Seedot	[Grass]	[C - Common]	(Reverse Holo),Seedot [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
004/162,[ENG]	SV05	Temporal Forces:	004/162	Nuzleaf	[Grass]	[C - Common]	(Non-Foil),Nuzleaf [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
004/162,[ENG]	SV05	Temporal Forces:	004/162	Nuzleaf	[Grass]	[C - Common]	(Reverse Holo),Nuzleaf [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
005/162,[ENG]	SV05	Temporal Forces:	005/162	Shiftry	[Grass]	[U - Uncommon]	(Non-Foil),Shiftry [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
005/162,[ENG]	SV05	Temporal Forces:	005/162	Shiftry	[Grass]	[U - Uncommon]	(Reverse Holo),Shiftry [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
006/162,[ENG]	SV05	Temporal Forces:	006/162	Shroomish	[Grass]	[C - Common]	(Non-Foil),Shroomish [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
006/162,[ENG]	SV05	Temporal Forces:	006/162	Shroomish	[Grass]	[C - Common]	(Reverse Holo),Shroomish [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
007/162,[ENG]	SV05	Temporal Forces:	007/162	Breloom	[Grass]	[C - Common]	(Non-Foil),Breloom [Grass] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
007/162,[ENG]	SV05	Temporal Forces:	007/162	Breloom	[Grass]	[C - Common]	(Reverse Holo),Breloom [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
008/162,[ENG]	SV05	Temporal Forces:	008/162	Roselia	[Grass]	[C - Common]	(Non-Foil),Roselia [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
008/162,[ENG]	SV05	Temporal Forces:	008/162	Roselia	[Grass]	[C - Common]	(Reverse Holo),Roselia [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
009/162,[ENG]	SV05	Temporal Forces:	009/162	Roserade	[Grass]	[U - Uncommon]	(Non-Foil),Roserade [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
009/162,[ENG]	SV05	Temporal Forces:	009/162	Roserade	[Grass]	[U - Uncommon]	(Reverse Holo),Roserade [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
010/162,[ENG]	SV05	Temporal Forces:	010/162	Turtwig	[Grass]	[C - Common]	(Non-Foil),Turtwig [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
010/162,[ENG]	SV05	Temporal Forces:	010/162	Turtwig	[Grass]	[C - Common]	(Reverse Holo),Turtwig [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
011/162,[ENG]	SV05	Temporal Forces:	011/162	Grotle	[Grass]	[C - Common]	(Non-Foil),Grotle [Grass] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
011/162,[ENG]	SV05	Temporal Forces:	011/162	Grotle	[Grass]	[C - Common]	(Reverse Holo),Grotle [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
012/162,[ENG]	SV05	Temporal Forces:	012/162	Torterra ex	[Grass]	[RR - Double Rare]	(Foil),Torterra ex [Grass] [RR - Double Rare] (Foil),2.0,0.0,2.0
013/162,[ENG]	SV05	Temporal Forces:	013/162	Shaymin	[Grass]	[U - Uncommon]	(Non-Foil),Shaymin [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
013/162,[ENG]	SV05	Temporal Forces:	013/162	Shaymin	[Grass]	[U - Uncommon]	(Reverse Holo),Shaymin [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
014/162,[ENG]	SV05	Temporal Forces:	014/162	Cottonee	[Grass]	[C - Common]	(Non-Foil),Cottonee [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
014/162,[ENG]	SV05	Temporal Forces:	014/162	Cottonee	[Grass]	[C - Common]	(Reverse Holo),Cottonee [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
015/162,[ENG]	SV05	Temporal Forces:	015/162	Whimsicott	[Grass]	[R - Rare]	(Foil),Whimsicott [Grass] [R - Rare] (Foil),0.5,0.0,0.5
015/162,[ENG]	SV05	Temporal Forces:	015/162	Whimsicott	[Grass]	[R - Rare]	(Reverse Holo),Whimsicott [Grass] [R - Rare] (Reverse Holo),1.2,-0.19999999999999996,1.0
016/162,[ENG]	SV05	Temporal Forces:	016/162	Deerling	[Grass]	[C - Common]	(Non-Foil),Deerling [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
016/162,[ENG]	SV05	Temporal Forces:	016/162	Deerling	[Grass]	[C - Common]	(Reverse Holo),Deerling [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
017/162,[ENG]	SV05	Temporal Forces:	017/162	Sawsbuck	[Grass]	[U - Uncommon]	(Non-Foil),Sawsbuck [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
017/162,[ENG]	SV05	Temporal Forces:	017/162	Sawsbuck	[Grass]	[U - Uncommon]	(Reverse Holo),Sawsbuck [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
018/162,[ENG]	SV05	Temporal Forces:	018/162	Grubbin	[Grass]	[C - Common]	(Non-Foil),Grubbin [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
018/162,[ENG]	SV05	Temporal Forces:	018/162	Grubbin	[Grass]	[C - Common]	(Reverse Holo),Grubbin [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
019/162,[ENG]	SV05	Temporal Forces:	019/162	Dhelmise	[Grass]	[U - Uncommon]	(Non-Foil),Dhelmise [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
019/162,[ENG]	SV05	Temporal Forces:	019/162	Dhelmise	[Grass]	[U - Uncommon]	(Reverse Holo),Dhelmise [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
020/162,[ENG]	SV05	Temporal Forces:	020/162	Bramblin	[Grass]	[C - Common]	(Non-Foil),Bramblin [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
020/162,[ENG]	SV05	Temporal Forces:	020/162	Bramblin	[Grass]	[C - Common]	(Reverse Holo),Bramblin [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
021/162,[ENG]	SV05	Temporal Forces:	021/162	Brambleghast	[Grass]	[R - Rare]	(Foil),Brambleghast [Grass] [R - Rare] (Foil),0.5,0.0,0.5
021/162,[ENG]	SV05	Temporal Forces:	021/162	Brambleghast	[Grass]	[R - Rare]	(Reverse Holo),Brambleghast [Grass] [R - Rare] (Reverse Holo),1.0,0.0,1.0
022/162,[ENG]	SV05	Temporal Forces:	022/162	Scovillain ex	[Grass]	[RR - Double Rare]	(Foil),Scovillain ex [Grass] [RR - Double Rare] (Foil),2.0,0.0,2.0
023/162,[ENG]	SV05	Temporal Forces:	023/162	Rellor	[Grass]	[C - Common]	(Non-Foil),Rellor [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
023/162,[ENG]	SV05	Temporal Forces:	023/162	Rellor	[Grass]	[C - Common]	(Reverse Holo),Rellor [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
024/162,[ENG]	SV05	Temporal Forces:	024/162	Rabsca	[Grass]	[U - Uncommon]	(Non-Foil),Rabsca [Grass] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
024/162,[ENG]	SV05	Temporal Forces:	024/162	Rabsca	[Grass]	[U - Uncommon]	(Reverse Holo),Rabsca [Grass] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
025/162,[ENG]	SV05	Temporal Forces:	025/162	Iron Leaves ex	[Grass]	[RR - Double Rare]	(Foil),Iron Leaves ex [Grass] [RR - Double Rare] (Foil),2.5,-0.5,2.0
026/162,[ENG]	SV05	Temporal Forces:	026/162	Ponyta	[Fire]	[C - Common]	(Non-Foil),Ponyta [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
026/162,[ENG]	SV05	Temporal Forces:	026/162	Ponyta	[Fire]	[C - Common]	(Reverse Holo),Ponyta [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
027/162,[ENG]	SV05	Temporal Forces:	027/162	Rapidash	[Fire]	[U - Uncommon]	(Non-Foil),Rapidash [Fire] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
027/162,[ENG]	SV05	Temporal Forces:	027/162	Rapidash	[Fire]	[U - Uncommon]	(Reverse Holo),Rapidash [Fire] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
028/162,[ENG]	SV05	Temporal Forces:	028/162	Slugma	[Fire]	[C - Common]	(Non-Foil),Slugma [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
028/162,[ENG]	SV05	Temporal Forces:	028/162	Slugma	[Fire]	[C - Common]	(Reverse Holo),Slugma [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
029/162,[ENG]	SV05	Temporal Forces:	029/162	Magcargo	[Fire]	[R - Rare]	(Foil),Magcargo [Fire] [R - Rare] (Foil),0.5,0.0,0.5
029/162,[ENG]	SV05	Temporal Forces:	029/162	Magcargo	[Fire]	[R - Rare]	(Reverse Holo),Magcargo [Fire] [R - Rare] (Reverse Holo),1.0,0.0,1.0
030/162,[ENG]	SV05	Temporal Forces:	030/162	Victini	[Fire]	[C - Common]	(Non-Foil),Victini [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
030/162,[ENG]	SV05	Temporal Forces:	030/162	Victini	[Fire]	[C - Common]	(Reverse Holo),Victini [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
031/162,[ENG]	SV05	Temporal Forces:	031/162	Heatmor	[Fire]	[C - Common]	(Non-Foil),Heatmor [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
031/162,[ENG]	SV05	Temporal Forces:	031/162	Heatmor	[Fire]	[C - Common]	(Reverse Holo),Heatmor [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
032/162,[ENG]	SV05	Temporal Forces:	032/162	Litten	[Fire]	[C - Common]	(Non-Foil),Litten [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
032/162,[ENG]	SV05	Temporal Forces:	032/162	Litten	[Fire]	[C - Common]	(Reverse Holo),Litten [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
033/162,[ENG]	SV05	Temporal Forces:	033/162	Torracat	[Fire]	[C - Common]	(Non-Foil),Torracat [Fire] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
033/162,[ENG]	SV05	Temporal Forces:	033/162	Torracat	[Fire]	[C - Common]	(Reverse Holo),Torracat [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
034/162,[ENG]	SV05	Temporal Forces:	034/162	Incineroar ex	[Fire]	[RR - Double Rare]	(Foil),Incineroar ex [Fire] [RR - Double Rare] (Foil),2.0,0.0,2.0
035/162,[ENG]	SV05	Temporal Forces:	035/162	Turtonator	[Fire]	[C - Common]	(Non-Foil),Turtonator [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
035/162,[ENG]	SV05	Temporal Forces:	035/162	Turtonator	[Fire]	[C - Common]	(Reverse Holo),Turtonator [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
036/162,[ENG]	SV05	Temporal Forces:	036/162	Sizzlipede	[Fire]	[C - Common]	(Non-Foil),Sizzlipede [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
036/162,[ENG]	SV05	Temporal Forces:	036/162	Sizzlipede	[Fire]	[C - Common]	(Reverse Holo),Sizzlipede [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
037/162,[ENG]	SV05	Temporal Forces:	037/162	Centiskorch	[Fire]	[U - Uncommon]	(Non-Foil),Centiskorch [Fire] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
037/162,[ENG]	SV05	Temporal Forces:	037/162	Centiskorch	[Fire]	[U - Uncommon]	(Reverse Holo),Centiskorch [Fire] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
038/162,[ENG]	SV05	Temporal Forces:	038/162	Gouging Fire ex	[Fire]	[RR - Double Rare]	(Foil),Gouging Fire ex [Fire] [RR - Double Rare] (Foil),2.0,0.0,2.0
039/162,[ENG]	SV05	Temporal Forces:	039/162	Totodile	[Water]	[C - Common]	(Non-Foil),Totodile [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
039/162,[ENG]	SV05	Temporal Forces:	039/162	Totodile	[Water]	[C - Common]	(Reverse Holo),Totodile [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
040/162,[ENG]	SV05	Temporal Forces:	040/162	Croconaw	[Water]	[C - Common]	(Non-Foil),Croconaw [Water] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
040/162,[ENG]	SV05	Temporal Forces:	040/162	Croconaw	[Water]	[C - Common]	(Reverse Holo),Croconaw [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
041/162,[ENG]	SV05	Temporal Forces:	041/162	Feraligatr	[Water]	[R - Rare]	(Foil),Feraligatr [Water] [R - Rare] (Foil),0.5,0.0,0.5
041/162,[ENG]	SV05	Temporal Forces:	041/162	Feraligatr	[Water]	[R - Rare]	(Reverse Holo),Feraligatr [Water] [R - Rare] (Reverse Holo),1.2,-0.19999999999999996,1.0
042/162,[ENG]	SV05	Temporal Forces:	042/162	Carvanha	[Water]	[C - Common]	(Non-Foil),Carvanha [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
042/162,[ENG]	SV05	Temporal Forces:	042/162	Carvanha	[Water]	[C - Common]	(Reverse Holo),Carvanha [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
043/162,[ENG]	SV05	Temporal Forces:	043/162	Sharpedo	[Water]	[U - Uncommon]	(Non-Foil),Sharpedo [Water] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
043/162,[ENG]	SV05	Temporal Forces:	043/162	Sharpedo	[Water]	[U - Uncommon]	(Reverse Holo),Sharpedo [Water] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
044/162,[ENG]	SV05	Temporal Forces:	044/162	Keldeo	[Water]	[C - Common]	(Non-Foil),Keldeo [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
044/162,[ENG]	SV05	Temporal Forces:	044/162	Keldeo	[Water]	[C - Common]	(Reverse Holo),Keldeo [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
045/162,[ENG]	SV05	Temporal Forces:	045/162	Snom	[Water]	[C - Common]	(Non-Foil),Snom [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
045/162,[ENG]	SV05	Temporal Forces:	045/162	Snom	[Water]	[C - Common]	(Reverse Holo),Snom [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
046/162,[ENG]	SV05	Temporal Forces:	046/162	Frosmoth	[Water]	[C - Common]	(Non-Foil),Frosmoth [Water] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
046/162,[ENG]	SV05	Temporal Forces:	046/162	Frosmoth	[Water]	[C - Common]	(Reverse Holo),Frosmoth [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
047/162,[ENG]	SV05	Temporal Forces:	047/162	Wiglett	[Water]	[C - Common]	(Non-Foil),Wiglett [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
047/162,[ENG]	SV05	Temporal Forces:	047/162	Wiglett	[Water]	[C - Common]	(Reverse Holo),Wiglett [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
048/162,[ENG]	SV05	Temporal Forces:	048/162	Finizen	[Water]	[C - Common]	(Non-Foil),Finizen [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
