ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/165,[ENG]	SV3.5	151:	001/165	Bulbasaur	C	(Non-Foil),Bulbasaur C (Non-Foil),0.5,0.09999999999999998,0.6
001/165,[ENG]	SV3.5	151:	001/165	Bulbasaur	C	(Reverse Holo),Bulbasaur C (Reverse Holo),2.0,-0.8,1.2
002/165,[ENG]	SV3.5	151:	002/165	Ivysaur	            U	(Non-Foil),Ivysaur U (Non-Foil),0.5,0.0,0.5
002/165,[ENG]	SV3.5	151:	002/165	Ivysaur 	U	(Reverse Holo),Ivysaur U (Reverse Holo),1.5,-0.5,1.0
003/165,[ENG]	SV3.5	151:	003/165	Venusaur EX	RR	(Foil),Venusaur EX RR (Foil),5.0,-1.7000000000000002,3.3
004/165,[ENG]	SV3.5	151:	004/165	Charmander	C	(Non-Foil),Charmander C (Non-Foil),0.5,0.5,1.0
004/165,[ENG]	SV3.5	151:	004/165	Charmander	C	(Reverse Holo),Charmander C (Reverse Holo),2.5,-1.1,1.4
005/165,[ENG]	SV3.5	151:	005/165	Charmeleon	U	(Non-Foil),Charmeleon U (Non-Foil),0.5,0.0,0.5
005/165,[ENG]	SV3.5	151:	005/165	Charmeleon	U	(Reverse Holo),Charmeleon U (Reverse Holo),1.5,-0.5,1.0
006/165,[ENG]	SV3.5	151:	006/165	Charizard EX	RR	(Foil),Charizard EX RR (Foil),10.0,-1.6999999999999993,8.3
007/165,[ENG]	SV3.5	151:	007/165	Squirtle	C	(Non-Foil),Squirtle C (Non-Foil),0.5,0.0,0.5
007/165,[ENG]	SV3.5	151:	007/165	Squirtle	C	(Reverse Holo),Squirtle C (Reverse Holo),2.0,-0.8,1.2
008/165,[ENG]	SV3.5	151:	008/165	Wartotle	U	(Non-Foil),Wartotle U (Non-Foil),0.5,0.0,0.5
008/165,[ENG]	SV3.5	151:	008/165	Wartotle	U	(Reverse Holo),Wartotle U (Reverse Holo),1.5,-0.30000000000000004,1.2
009/165,[ENG]	SV3.5	151:	009/165	Blastoise EX	RR	(Foil),Blastoise EX RR (Foil),5.0,-0.40000000000000036,4.6
010/165,[ENG]	SV3.5	151:	010/165	Caterpie	C	(Non-Foil),Caterpie C (Non-Foil),0.5,0.0,0.5
010/165,[ENG]	SV3.5	151:	010/165	Caterpie	C	(Reverse Holo),Caterpie C (Reverse Holo),1.0,0.0,1.0
