ID,Shopify Name,Sawadeekard Name,Before,Change,After
001/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	001/091	Pineco	[Grass]	[C - Common]	(Non-Foil),Pineco [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
001/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	001/091	Pineco	[Grass]	[C - Common]	(Reverse Holo),Pineco [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
002/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	002/091	Forrestress ex	[Grass]	[RR - Double Rare]	(Foil),Forrestress ex [Grass] [RR - Double Rare] (Foil),0.5,1.5,2.0
003/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	003/091	Maractus	[Grass]	[C - Common]	(Non-Foil),Maractus [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
003/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	003/091	Maractus	[Grass]	[C - Common]	(Reverse Holo),Maractus [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
004/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	004/091	Toedscool	[Grass]	[C - Common]	(Non-Foil),Toedscool [Grass] [C - Common] (Non-Foil),0.5,0.0,0.5
004/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	004/091	Toedscool	[Grass]	[C - Common]	(Reverse Holo),Toedscool [Grass] [C - Common] (Reverse Holo),1.0,0.0,1.0
005/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	005/091	Toedscruel ex	[Grass]	[RR - Double Rare]	(Foil),Toedscruel ex [Grass] [RR - Double Rare] (Foil),0.5,1.5,2.0
006/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	006/091	Espathra ex	[Grass]	[RR - Double Rare]	(Foil),Espathra ex [Grass] [RR - Double Rare] (Foil),0.5,1.5,2.0
007/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	007/091	Charmander	[Fire]	[C - Common]	(Non-Foil),Charmander [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
007/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	007/091	Charmander	[Fire]	[C - Common]	(Reverse Holo),Charmander [Fire] [C - Common] (Reverse Holo),1.8,-0.8,1.0
008/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	008/091	Charmeleon	[Fire]	[U - Uncommon]	(Non-Foil),Charmeleon [Fire] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
008/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	008/091	Charmeleon	[Fire]	[U - Uncommon]	(Reverse Holo),Charmeleon [Fire] [U - Uncommon] (Reverse Holo),1.0,0.30000000000000004,1.3
009/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	009/091	Magmar	[Fire]	[C - Common]	(Non-Foil),Magmar [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
009/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	009/091	Magmar	[Fire]	[C - Common]	(Reverse Holo),Magmar [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
010/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	010/091	Magmortar	[Fire]	[R - Rare]	(Foil),Magmortar [Fire] [R - Rare] (Foil),0.5,0.0,0.5
010/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	010/091	Magmortar	[Fire]	[R - Rare]	(Reverse Holo),Magmortar [Fire] [R - Rare] (Reverse Holo),1.0,0.0,1.0
011/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	011/091	Numel	[Fire]	[C - Common]	(Non-Foil),Numel [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
011/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	011/091	Numel	[Fire]	[C - Common]	(Reverse Holo),Numel [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
