Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv02-paldea-evolved-001-193-hoppip-c-non-foil,[ENG] SV02 Paldea Evolved: 001/193 Hoppip C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,39,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/4_385bf58b-d9ba-45bd-bf02-ddb95d03d026.png?v=1690198262,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-001-193-hoppip-c-reverse-holo,[ENG] SV02 Paldea Evolved: 001/193 Hoppip C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,8,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/5_e0936c79-aaa4-49e6-b2cc-4b86b00d7992.png?v=1690260842,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-002-193-skiploom-u-non-foil,[ENG] SV02 Paldea Evolved: 002/193 Skiploom U (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,26,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/6_fc3479d7-a067-4344-a7d4-dc077a02d9d2.png?v=1690263237,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-002-193-skiploom-u-reverse-holo,[ENG] SV02 Paldea Evolved: 002/193 Skiploom U (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,5,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/7_c4fa9c15-b980-46e1-9d0d-451fd59475a3.png?v=1690263251,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-003-193-jumpluff-r-foil,[ENG] SV02 Paldea Evolved: 003/193 Jumpluff R (Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Rare (R), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,9,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/8_cd4d7bd0-4ed4-4f94-933d-282c246a4937.png?v=1690263265,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-003-193-jumpluff-r-reverse-holo,[ENG] SV02 Paldea Evolved: 003/193 Jumpluff R (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Rare (R), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/9_01cfb18b-1505-4088-9d42-99e930afbfc4.png?v=1690263272,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-004-193-pineco-c-non-foil,[ENG] SV02 Paldea Evolved: 004/193 Pineco C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,39,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/10_3d04ebc6-074b-49da-b36d-1b93fb730342.png?v=1690263279,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-004-193-pineco-c-reverse-holo,[ENG] SV02 Paldea Evolved: 004/193 Pineco C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/11_daa31046-a2de-42b2-b221-f38f31b83895.png?v=1690263397,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-005-193-forretress-ex-rr-double-rare,[ENG] SV02 Paldea Evolved: 005/193 Forretress EX RR (Double Rare),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/12_c1731f83-4c8e-4940-be49-e934daa75783.png?v=1690263409,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv02-paldea-evolved-006-193-heracross-u-non-foil,[ENG] SV02 Paldea Evolved: 006/193 Heracross U (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,34,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/13_a5d633ec-ec73-4c9c-9c2a-15aeeba40115.png?v=1690263421,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
