Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv05-temporal-forces-001-162-scyther-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	001/162	Scyther	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,5,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/4_80f1b307-54e3-46ef-98de-f4774a4ed6dd.jpg?v=1714694993,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-001-162-scyther-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	001/162	Scyther	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/5_8d218319-6553-49a4-a7c0-0e03b8615a48.jpg?v=1714695047,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-002-162-pineco-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	002/162	Pineco	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,5,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/6_b0259498-e8e8-4a2f-a4c4-213d852552ec.jpg?v=1714695135,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-002-162-pineco-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	002/162	Pineco	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/7_64d74b3d-9c99-4d63-b7d1-6fe1762b4e36.jpg?v=1714695186,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-003-162-seedot-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	003/162	Seedot	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/8_b550dd63-e4ad-4c6c-b09c-566873c6a1c1.jpg?v=1714695222,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-003-162-seedot-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	003/162	Seedot	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/9_a43299d6-e992-4076-9968-3806babcfa0e.jpg?v=1714695254,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-004-162-nuzleaf-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	004/162	Nuzleaf	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/10_090981d2-5e35-49fa-9fe1-d319cae637d1.jpg?v=1714695834,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-004-162-nuzleaf-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	004/162	Nuzleaf	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/11_bd008548-f636-4f3c-8656-3ba13704cf4e.jpg?v=1714695861,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-005-162-shiftry-grass-u-uncommon-non-foil,[ENG]	SV05	Temporal Forces:	005/162	Shiftry	[Grass]	[U - Uncommon]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/12_4696c205-1f20-4e91-8097-add5093404f8.jpg?v=1714696208,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-005-162-shiftry-grass-u-uncommon-reverse-holo,[ENG]	SV05	Temporal Forces:	005/162	Shiftry	[Grass]	[U - Uncommon]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/13_f788c34d-d450-49c3-af03-a748287a7a05.jpg?v=1714696222,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
