ID,Name,Price in USD,Price in SGD
001/182,Surskit C (Non-Foil),0.25,0.5
001/182,Surskit C (Reverse Holo),0.35,1.0
002/182,Masquerain U (Non-Foil),0.25,0.5
002/182,Masquerain U (Reverse Holo),0.35,1.0
003/182,Froslass ex RR (Foil),1.49,2.0
004/182,Pansage C (Non-Foil),0.25,0.5
004/182,Pansage C (Reverse Holo),0.35,1.0
005/182,Simisage U (Non-Foil),0.25,0.5
005/182,Simisage U (Reverse Holo),0.35,1.0
006/182,Dwebble C (Non-Foil),0.25,0.5
006/182,Dwebble C (Reverse Holo),0.35,1.0
007/182,Crustle C (Non-Foil),0.25,0.5
007/182,Crustle C (Reverse Holo),0.35,1.0
008/182,Bounsweet C (Non-Foil),0.49,0.7
008/182,Bounsweet C (Reverse Holo),0.35,1.0
009/182,Steenee U (Non-Foil),0.25,0.5
009/182,Steenee U (Reverse Holo),0.49,1.0
010/182,Blipbug C (Non-Foil),0.25,0.5
010/182,Blipbug C (Reverse Holo),0.35,1.0
011/182,Dottler C (Non-Foil),0.25,0.5
011/182,Dottler C (Reverse Holo),0.35,1.0
012/182,Orbeetle U (Non-Foil),0.25,0.5
012/182,Orbeetle U (Reverse Holo),0.39,1.0
013/182,Nymble C (Non-Foil),0.25,0.5
013/182,Nymble C (Reverse Holo),0.35,1.0
015/182,Toedscool C (Non-Foil),0.25,0.5
015/182,Toedscool C (Reverse Holo),0.35,1.0
017/182,Toedscruel U (Non-Foil),0.35,0.5
017/182,Toedscruel U (Reverse Holo),0.35,1.0
018/182,Wo-Chien R (Foil),0.25,0.5
018/182,Wo-Chien R (Reverse Holo),0.35,1.0
019/182,Magby C (Non-Foil),0.35,0.5
019/182,Magby C (Reverse Holo),0.49,1.0
020/182,Pansear C (Non-Foil),0.35,0.5
020/182,Pansear C (Reverse Holo),0.49,1.0
021/182,Simisear U (Non-Foil),0.25,0.5
021/182,Simisear U (Reverse Holo),0.35,1.0
022/182,Volcanion R (Foil),0.25,0.5
022/182,Volcanion R (Reverse Holo),0.35,1.0
023/182,Fuecoco C (Non-Foil),0.25,0.5
023/182,Fuecoco C (Reverse Holo),0.35,1.0
024/182,Crocalor U (Non-Foil),0.35,0.5
024/182,Crocalor U (Reverse Holo),0.35,1.0
025/182,Charcadet C (Non-Foil),0.25,0.5
025/182,Charcadet C (Reverse Holo),0.35,1.0
027/182,Armarouge ex RR (Foil),0.25,0.5
028/182,Iron Moth R (Foil),0.25,0.5
028/182,Iron Moth R (Reverse Holo),0.35,1.0
029/182,Chi-Yu R (Foil),0.39,0.5
029/182,Chi-Yu R (Reverse Holo),0.35,1.0
030/182,Horsea C (Non-Foil),1.49,2.0
030/182,Horsea C (Reverse Holo),0.35,1.0
031/182,Seadra C (Non-Foil),0.35,0.5
031/182,Seadra C (Reverse Holo),0.35,1.0
032/182,Kingdra R (Foil),0.35,0.5
032/182,Kingdra R (Reverse Holo),0.35,1.0
033/182,Remoraid C (Non-Foil),0.25,0.5
033/182,Remoraid C (Reverse Holo),0.35,1.0
034/182,Octillery C (Non-Foil),0.25,0.5
034/182,Octillery C (Reverse Holo),0.35,1.0
035/182,Feebas C (Non-Foil),0.35,0.5
035/182,Feebas C (Reverse Holo),0.35,1.0
036/182,Milotic R (Foil),0.25,0.5
036/182,Milotic R (Reverse Holo),0.35,1.0
037/182,Snorunt C (Non-Foil),0.25,0.5
037/182,Snorunt C (Reverse Holo),0.35,1.0
038/182,Garchomp ex RR (Foil),0.25,0.5
039/182,Mantyke C (Non-Foil),0.35,0.5
039/182,Mantyke C (Reverse Holo),0.35,1.0
040/182,Palkia R (Foil),0.25,0.5
041/182,Panpour C (Non-Foil),1.49,2.0
041/182,Panpour C (Reverse Holo),0.35,1.0
042/182,Simipour U (Non-Foil),0.25,0.5
042/182,Simipour U (Reverse Holo),0.35,1.0
043/182,Vanillite C (Non-Foil),0.35,0.5
043/182,Vanillite C (Reverse Holo),0.35,1.0
044/182,Vanillish C (Non-Foil),0.25,0.5
044/182,Vanillish C (Reverse Holo),0.35,1.0
045/182,Vanilluxe U (Non-Foil),0.25,0.5
045/182,Vanilluxe U (Reverse Holo),0.35,1.0
046/182,Tsareena ex RR (Foil),0.25,0.5
047/182,Wimpod C (Non-Foil),0.25,0.5
047/182,Wimpod C (Reverse Holo),0.35,1.0
049/182,Golisopod R (Foil),0.25,0.5
049/182,Golisopod R (Reverse Holo),0.35,1.0
050/182,Golisopod ex RR (Foil),1.49,2.0
051/182,Wiglett C (Non-Foil),0.25,0.5
051/182,Wiglett C (Reverse Holo),0.35,1.0
053/182,Wugtrio U (Non-Foil),0.25,0.5
053/182,Wugtrio U (Reverse Holo),0.35,1.0
054/182,Veluza U (Non-Foil),0.35,0.5
054/182,Veluza U (Reverse Holo),0.35,1.0
055/182,Dondozo U (Non-Foil),1.49,2.0
055/182,Dondozo U (Reverse Holo),0.49,1.0
056/182,Iron Bundle U (Non-Foil),0.25,0.5
056/182,Iron Bundle U (Reverse Holo),0.35,1.0
057/182,Chien-Pao R (Foil),0.25,0.5
057/182,Chien-Pao R (Reverse Holo),0.35,1.0
058/182,Mewtwo ex RR (Foil),0.25,0.5
059/182,Elekid C (Non-Foil),0.25,0.5
059/182,Elekid C (Reverse Holo),0.35,1.0
060/182,Plusle C (Non-Foil),0.25,0.5
060/182,Plusle C (Reverse Holo),0.35,1.0
061/182,Minun C (Non-Foil),0.49,0.7
061/182,Minun C (Reverse Holo),0.49,1.0
062/182,Blitzle C (Non-Foil),0.35,0.5
062/182,Blitzle C (Reverse Holo),0.35,1.0
063/182,Zebstrika U (Non-Foil),1.99,2.7
063/182,Zebstrika U (Reverse Holo),0.99,1.3
064/182,Joltik C (Non-Foil),0.25,0.5
064/182,Joltik C (Reverse Holo),0.49,1.0
065/182,Galvantula C (Non-Foil),0.25,0.5
065/182,Galvantula C (Reverse Holo),0.35,1.0
066/182,Zekrom R (Foil),0.25,0.5
066/182,Zekrom R (Reverse Holo),0.35,1.0
067/182,Oricorio C (Non-Foil),0.25,0.5
067/182,Oricorio C (Reverse Holo),0.39,1.0
068/182,Tapu Koko ex RR (Foil),0.25,0.5
069/182,Toxel C (Non-Foil),0.25,0.5
069/182,Toxel C (Reverse Holo),0.35,1.0
070/182,Iron Hands ex RR (Foil),0.25,0.5
071/182,Natu C (Non-Foil),0.35,0.5
071/182,Natu C (Reverse Holo),0.35,1.0
072/182,Xatu R (Foil),0.25,0.5
072/182,Xatu R (Reverse Holo),0.35,1.0
073/182,Latios R (Foil),1.49,2.0
073/182,Latios R (Reverse Holo),0.35,1.0
074/182,Deoxys R (Foil),0.25,0.5
074/182,Deoxys R (Reverse Holo),0.35,1.0
075/182,Yamask C (Non-Foil),17.99,24.2
075/182,Yamask C (Reverse Holo),0.35,1.0
