ID,Name,Price in USD,Price in SGD
001/162,Scyther [Grass] [C - Common] (Non-Foil),0.25,0.5
001/162,Scyther [Grass] [C - Common] (Reverse Holo),0.35,1.0
002/162,Pineco [Grass] [C - Common] (Non-Foil),0.25,0.5
002/162,Pineco [Grass] [C - Common] (Reverse Holo),0.35,1.0
003/162,Seedot [Grass] [C - Common] (Non-Foil),0.25,0.5
003/162,Seedot [Grass] [C - Common] (Reverse Holo),0.35,1.0
004/162,Nuzleaf [Grass] [C - Common] (Non-Foil),0.25,0.5
004/162,Nuzleaf [Grass] [C - Common] (Reverse Holo),0.35,1.0
005/162,Shiftry [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
005/162,Shiftry [Grass] [U - Uncommon] (Reverse Holo),0.35,1.0
006/162,Shroomish [Grass] [C - Common] (Non-Foil),0.25,0.5
006/162,Shroomish [Grass] [C - Common] (Reverse Holo),0.35,1.0
007/162,Breloom [Grass] [C - Common] (Non-Foil),0.25,0.5
007/162,Breloom [Grass] [C - Common] (Reverse Holo),0.35,1.0
008/162,Roselia [Grass] [C - Common] (Non-Foil),0.25,0.5
008/162,Roselia [Grass] [C - Common] (Reverse Holo),0.35,1.0
009/162,Roserade [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
009/162,Roserade [Grass] [U - Uncommon] (Reverse Holo),0.35,1.0
010/162,Turtwig [Grass] [C - Common] (Non-Foil),0.25,0.5
010/162,Turtwig [Grass] [C - Common] (Reverse Holo),0.35,1.0
011/162,Grotle [Grass] [C - Common] (Non-Foil),0.25,0.5
011/162,Grotle [Grass] [C - Common] (Reverse Holo),0.35,1.0
012/162,Torterra ex [Grass] [RR - Double Rare] (Foil),1.49,2.0
013/162,Shaymin [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
013/162,Shaymin [Grass] [U - Uncommon] (Reverse Holo),0.35,1.0
014/162,Cottonee [Grass] [C - Common] (Non-Foil),0.25,0.5
014/162,Cottonee [Grass] [C - Common] (Reverse Holo),0.35,1.0
015/162,Whimsicott [Grass] [R - Rare] (Foil),0.35,0.5
015/162,Whimsicott [Grass] [R - Rare] (Reverse Holo),0.39,1.0
016/162,Deerling [Grass] [C - Common] (Non-Foil),0.25,0.5
016/162,Deerling [Grass] [C - Common] (Reverse Holo),0.35,1.0
