ID,Name
001/165,Bulbasaur (non-foil)
001/165,Bulbasaur (reverse holo)
002/165,Ivysaur (non-foil)
002/165,Ivysaur (reverse holo)
003/165,Venusaur ex
004/165,Charmander (non-foil)
004/165,Charmander (reverse holo)
005/165,Charmeleon (non-foil)
005/165,Charmeleon (reverse holo)
006/165,Charizard ex
007/165,Squirtle (non-foil)
007/165,Squirtle (reverse holo)
008/165,Wartortle (non-foil)
008/165,Wartortle (reverse holo)
009/165,Blastoise ex
010/165,Caterpie (non-foil)
010/165,Caterpie (reverse holo)
011/165,Metapod (non-foil)
011/165,Metapod (reverse holo)
012/165,Butterfree (non-foil)
012/165,Butterfree (reverse holo)
013/165,Weedle (non-foil)
013/165,Weedle (reverse holo)
014/165,Kakuna (non-foil)
014/165,Kakuna (reverse holo)
015/165,Beedrill (non-foil)
015/165,Beedrill (reverse holo)
016/165,Pidgey (non-foil)
016/165,Pidgey (reverse holo)
017/165,Pidgeotto (non-foil)
017/165,Pidgeotto (reverse holo)
018/165,Pidgeot (non-foil)
018/165,Pidgeot (reverse holo)
019/165,Rattata (non-foil)
019/165,Rattata (reverse holo)
020/165,Raticate (non-foil)
020/165,Raticate (reverse holo)
021/165,Spearow (non-foil)
021/165,Spearow (reverse holo)
022/165,Fearow (non-foil)
022/165,Fearow (reverse holo)
023/165,Ekans (non-foil)
023/165,Ekans (reverse holo)
024/165,Arbok ex
025/165,Pikachu (non-foil)
025/165,Pikachu (reverse holo)
026/165,Raichu (non-foil)
026/165,Raichu (reverse holo)
027/165,Sandshrew (non-foil)
027/165,Sandshrew (reverse holo)
028/165,Sandslash (non-foil)
028/165,Sandslash (reverse holo)
029/165,Nidoran♀ (non-foil)
029/165,Nidoran♀ (reverse holo)
030/165,Nidorina (non-foil)
030/165,Nidorina (reverse holo)
031/165,Nidoqueen (non-foil)
031/165,Nidoqueen (reverse holo)
032/165,Nidoran (non-foil)
032/165,Nidoran (reverse holo)
033/165,Nidorino (non-foil)
033/165,Nidorino (reverse holo)
034/165,Nidoking (non-foil)
034/165,Nidoking (reverse holo)
035/165,Clefairy (non-foil)
035/165,Clefairy (reverse holo)
036/165,Clefable (non-foil)
036/165,Clefable (reverse holo)
037/165,Vulpix (non-foil)
037/165,Vulpix (reverse holo)
038/165,Ninetales ex
039/165,Jigglypuff (non-foil)
039/165,Jigglypuff (reverse holo)
040/165,Wigglytuff ex
041/165,Zubat (non-foil)
041/165,Zubat (reverse holo)
042/165,Golbat (non-foil)
042/165,Golbat (reverse holo)
043/165,Oddish (non-foil)
043/165,Oddish (reverse holo)
044/165,Gloom (non-foil)
044/165,Gloom (reverse holo)
045/165,Vileplume (non-foil)
045/165,Vileplume (reverse holo)
046/165,Paras (non-foil)
046/165,Paras (reverse holo)
047/165,Parasect (non-foil)
047/165,Parasect (reverse holo)
048/165,Venonat (non-foil)
048/165,Venonat (reverse holo)
049/165,Venomoth (non-foil)
049/165,Venomoth (reverse holo)
050/165,Diglett (non-foil)
050/165,Diglett (reverse holo)
051/165,Dugtrio (non-foil)
051/165,Dugtrio (reverse holo)
052/165,Meowth (non-foil)
052/165,Meowth (reverse holo)
053/165,Persian (non-foil)
053/165,Persian (reverse holo)
054/165,Psyduck (non-foil)
054/165,Psyduck (reverse holo)
055/165,Golduck (non-foil)
055/165,Golduck (reverse holo)
056/165,Mankey (non-foil)
056/165,Mankey (reverse holo)
057/165,Primeape (non-foil)
057/165,Primeape (reverse holo)
058/165,Growlithe (non-foil)
058/165,Growlithe (reverse holo)
059/165,Arcanine (non-foil)
059/165,Arcanine (reverse holo)
060/165,Poliwag (non-foil)
060/165,Poliwag (reverse holo)
061/165,Poliwhirl (non-foil)
061/165,Poliwhirl (reverse holo)
062/165,Poliwrath (non-foil)
062/165,Poliwrath (reverse holo)
063/165,Abra (non-foil)
063/165,Abra (reverse holo)
064/165,Kadabra (non-foil)
064/165,Kadabra (reverse holo)
065/165,Alakazam ex
066/165,Machop (non-foil)
066/165,Machop (reverse holo)
067/165,Machoke (non-foil)
067/165,Machoke (reverse holo)
068/165,Machamp (non-foil)
068/165,Machamp (reverse holo)
069/165,Bellsprout (non-foil)
069/165,Bellsprout (reverse holo)
070/165,Weepinbell (non-foil)
070/165,Weepinbell (reverse holo)
071/165,Victreebel (non-foil)
071/165,Victreebel (reverse holo)
072/165,Tentacool (non-foil)
072/165,Tentacool (reverse holo)
073/165,Tentacruel (non-foil)
073/165,Tentacruel (reverse holo)
074/165,Geodude (non-foil)
074/165,Geodude (reverse holo)
075/165,Graveler (non-foil)
075/165,Graveler (reverse holo)
076/165,Golem ex
077/165,Ponyta (non-foil)
077/165,Ponyta (reverse holo)
078/165,Rapidash (non-foil)
078/165,Rapidash (reverse holo)
079/165,Slowpoke (non-foil)
079/165,Slowpoke (reverse holo)
080/165,Slowbro (non-foil)
080/165,Slowbro (reverse holo)
081/165,Magnemite (non-foil)
081/165,Magnemite (reverse holo)
082/165,Magneton (non-foil)
082/165,Magneton (reverse holo)
083/165,Farfetch'd (non-foil)
083/165,Farfetch'd (reverse holo)
084/165,Doduo (non-foil)
084/165,Doduo (reverse holo)
085/165,Dodrio (non-foil)
085/165,Dodrio (reverse holo)
086/165,Seel (non-foil)
086/165,Seel (reverse holo)
087/165,Dewgong (non-foil)
087/165,Dewgong (reverse holo)
088/165,Grimer (non-foil)
088/165,Grimer (reverse holo)
089/165,Muk (non-foil)
089/165,Muk (reverse holo)
090/165,Shellder (non-foil)
090/165,Shellder (reverse holo)
