Before,Change,After
25,-24.5,0.5
10,-8.9,1.1
19,-18.5,0.5
8,-7.0,1.0
1,2.3,3.3
16,-15.0,1.0
12,-10.5,1.5
17,-16.5,0.5
7,-6.0,1.0
2,4.7,6.7
13,-12.5,0.5
9,-7.8,1.2
16,-15.5,0.5
10,-8.9,1.1
0,3.3,3.3
23,-22.5,0.5
7,-6.0,1.0
3,-2.3,0.7
2,-0.7,1.3
10,-9.5,0.5
13,-12.0,1.0
29,-28.5,0.5
20,-19.0,1.0
18,-17.3,0.7
0,1.5,1.5
20,-19.5,0.5
4,-2.7,1.3
10,-9.3,0.7
10,-8.5,1.5
14,-12.8,1.2
6,-4.8,1.2
20,-19.5,0.5
9,-8.0,1.0
22,-21.5,0.5
8,-7.0,1.0
15,-14.5,0.5
14,-13.0,1.0
6,-5.5,0.5
20,-19.0,1.0
18,-17.3,0.7
9,-8.0,1.0
20,-19.5,0.5
10,-9.0,1.0
0,2.7,2.7
22,-21.5,0.5
9,-7.9,1.1
12,-11.2,0.8
3,-1.3,1.7
20,-19.5,0.5
15,-14.0,1.0
20,-19.3,0.7
9,-8.0,1.0
10,-9.5,0.5
3,-0.8999999999999999,2.1
16,-15.5,0.5
14,-13.0,1.0
14,-13.3,0.7
13,-12.0,1.0
11,-10.5,0.5
5,-3.0,2.0
16,-15.5,0.5
10,-9.0,1.0
20,-18.9,1.1
4,-2.5,1.5
18,-17.5,0.5
8,-7.0,1.0
15,-14.5,0.5
11,-10.0,1.0
20,-19.5,0.5
10,-9.0,1.0
1,1.4,2.4
20,-19.5,0.5
9,-8.0,1.0
1,1.0,2.0
20,-19.5,0.5
15,-14.0,1.0
24,-23.5,0.5
9,-8.0,1.0
19,-18.5,0.5
9,-8.0,1.0
16,-15.5,0.5
11,-10.0,1.0
19,-18.3,0.7
2,-0.7,1.3
19,-18.5,0.5
7,-6.0,1.0
14,-13.5,0.5
12,-11.0,1.0
20,-19.5,0.5
13,-12.0,1.0
18,-17.5,0.5
16,-15.0,1.0
20,-19.5,0.5
8,-7.0,1.0
13,-12.5,0.5
12,-11.0,1.0
17,-16.5,0.5
14,-13.0,1.0
18,-17.5,0.5
12,-11.0,1.0
12,-11.5,0.5
5,-4.0,1.0
15,-14.3,0.7
10,-9.0,1.0
18,-17.5,0.5
5,-4.0,1.0
18,-17.5,0.5
11,-10.0,1.0
25,-24.5,0.5
4,-3.0,1.0
17,-16.5,0.5
11,-10.0,1.0
15,-14.5,0.5
7,-6.0,1.0
13,-12.5,0.5
0,2.0,2.0
12,-11.3,0.7
19,-18.0,1.0
28,-27.3,0.7
10,-9.0,1.0
23,-22.3,0.7
5,-4.0,1.0
2,0.7000000000000002,2.7
20,-19.5,0.5
10,-9.0,1.0
15,-14.5,0.5
18,-17.0,1.0
17,-16.5,0.5
2,-0.7,1.3
23,-22.5,0.5
14,-13.0,1.0
13,-12.3,0.7
3,-1.8,1.2
12,-11.5,0.5
10,-9.0,1.0
17,-16.5,0.5
9,-8.0,1.0
7,-6.5,0.5
12,-11.0,1.0
20,-19.5,0.5
12,-11.0,1.0
16,-15.5,0.5
3,-2.0,1.0
2,0.0,2.0
14,-13.5,0.5
19,-18.0,1.0
21,-20.5,0.5
9,-8.0,1.0
25,-24.5,0.5
9,-8.0,1.0
16,-15.5,0.5
10,-9.0,1.0
0,0.5,0.5
13,-12.0,1.0
0,0.5,0.5
18,-17.0,1.0
20,-19.5,0.5
10,-9.0,1.0
20,-19.3,0.7
12,-11.0,1.0
19,-18.3,0.7
2,-0.30000000000000004,1.7
13,-12.5,0.5
8,-7.0,1.0
6,-5.3,0.7
13,-12.0,1.0
20,-19.5,0.5
17,-16.0,1.0
17,-16.5,0.5
9,-8.0,1.0
11,-10.5,0.5
4,-3.0,1.0
6,-5.5,0.5
10,-9.0,1.0
17,-16.5,0.5
10,-9.0,1.0
20,-19.5,0.5
11,-10.0,1.0
15,-14.5,0.5
1,0.8999999999999999,1.9
16,-15.5,0.5
6,-4.5,1.5
20,-19.5,0.5
11,-10.0,1.0
22,-21.5,0.5
10,-8.7,1.3
15,-14.5,0.5
11,-10.0,1.0
11,-10.5,0.5
5,-3.1,1.9
0,0.5,0.5
10,-9.0,1.0
16,-15.5,0.5
0,3.9,3.9
16,-15.5,0.5
5,-4.0,1.0
11,-10.5,0.5
4,-2.7,1.3
20,-19.5,0.5
16,-15.0,1.0
15,-14.5,0.5
1,0.5,1.5
18,-17.3,0.7
6,-4.8,1.2
10,-9.5,0.5
6,-4.4,1.6
