Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv03-obsidian-flames-230-197-basic-fire-energy-ur-foil,[ENG]	SV03	Obsidian Flames:	230/197	Basic Fire Energy	UR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Ultra Rare (UR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,9.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/72_4bb1c440-66ea-4b2f-a9b2-9e9214b25706.jpg?v=1703163398,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-229-197-artazon-ur-foil,[ENG]	SV03	Obsidian Flames:	229/197	Artazon	UR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Stadium, Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,7.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/71_c21f2603-2db6-46c0-bd2b-f901c0537bf1.jpg?v=1703163366,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-228-197-charizard-ex-ur-foil,[ENG]	SV03	Obsidian Flames:	228/197	Charizard ex	UR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Ultra Rare (UR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,39.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/70_9ca0d52c-a588-435e-8c2c-5cd0834b3213.jpg?v=1703163335,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-227-197-poppy-sir-foil,[ENG]	SV03	Obsidian Flames:	227/197	Poppy	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,10.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/69_67974af4-0f41-4e01-92fa-cce40e578168.jpg?v=1703163252,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-226-197-geeta-sir-foil,[ENG]	SV03	Obsidian Flames:	226/197	Geeta	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,10.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/68_abc8f21d-31f6-4ec6-83a1-f94cde583bf0.jpg?v=1703163218,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-225-197-pidgeot-ex-sir-foil,[ENG]	SV03	Obsidian Flames:	225/197	Pidgeot ex	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,16.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/67_b5faff7b-9dc8-4af1-a32c-2694879b9e22.jpg?v=1703163157,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-224-197-revavroom-ex-sir-foil,[ENG]	SV03	Obsidian Flames:	224/197	Revavroom ex	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Metal",true,Title,Default Title,,,,,,,,,100.0,shopify,3,deny,manual,6.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/66_0093d2c3-e4e5-4c62-a213-37c70bf0ff3f.jpg?v=1703163084,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-223-197-charizard-ex-sir-foil,[ENG]	SV03	Obsidian Flames:	223/197	Charizard ex	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,118.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/65_223fa236-e32c-486b-be2e-7f31ac63728f.jpg?v=1703162998,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-222-197-eiscue-ex-sir-foil,[ENG]	SV03	Obsidian Flames:	222/197	Eiscue ex	SIR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,9.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/64_78752f02-5c55-4859-99ef-6640aa4d0046.jpg?v=1703162953,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-221-197-ryme-sr-foil,[ENG]	SV03	Obsidian Flames:	221/197	Ryme	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Super Rare (SR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/63_917eac6c-4be3-40f8-8754-7932c89e0174.jpg?v=1703162937,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
