Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv06-twilight-masquerade-226-167-luminous-energy-special-energy-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	226/167	Luminous Energy	[Special Energy]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Energy, Rarity: Hyper Rare (HR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,14.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_377.jpg?v=1716781910,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-225-167-rescue-board-pokemon-tool-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	225/167	Rescue Board	[Pokemon Tool]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Tools, Rarity: Hyper Rare (HR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,25.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_376.jpg?v=1716781890,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-224-167-enhanced-hammer-item-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	224/167	Enhanced Hammer	[Item]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Items, Rarity: Hyper Rare (HR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,14.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_375.jpg?v=1716781872,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-223-167-buddy-buddy-poffin-item-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	223/167	Buddy-Buddy Poffin	[Item]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Items, Rarity: Hyper Rare (HR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,70.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_374.jpg?v=1716781846,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-222-167-bloodmoon-ursaluna-ex-colorless-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	222/167	Bloodmoon Ursaluna ex	[Colorless]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Hyper Rare (HR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,25.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_373.jpg?v=1716781816,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-221-167-teal-mask-ogerpom-ex-grass-hr-hyper-rare-foil,[ENG]	SV06	Twilight Masquerade:	221/167	Teal Mask Ogerpon ex	[Grass]	[HR - Hyper Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Hyper Rare (HR), Type: Grass",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,25.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_372.jpg?v=1716781788,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-220-167-perrin-supporter-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	220/167	Perrin	[Supporter]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,150.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_371.jpg?v=1716781777,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-219-167-lanas-aid-supporter-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	219/167	Lana's Aid	[Supporter]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,55.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_370.jpg?v=1716781766,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-218-167-kieran-supporter-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	218/167	Kieran	[Supporter]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,55.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_369.jpg?v=1716781757,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-217-167-carmine-supporter-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	217/167	Carmine	[Supporter]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Special Illustration Rare (SIR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,135.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_368.jpg?v=1716781735,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
