ID,Name,Price
001/165,[JAP] SV2a 151: 001/165 Bulbasaur C (Non-Foil),50
001/165,[JAP] SV2a 151: 001/165 Bulbasaur C (Reverse Holo),180
001/165,[JAP] SV2a 151: 001/165 Bulbasaur C (Master Ball),3980
002/165,[JAP] SV2a 151: 002/165 Ivysaur U (Non-Foil),50
002/165,[JAP] SV2a 151: 002/165 Ivysaur U (Reverse Holo),180
002/165,[JAP] SV2a 151: 002/165 Ivysaur U (Master Ball),2480
003/165,[JAP] SV2a 151: 003/165 Venusaur RR (Foil),120
004/165,[JAP] SV2a 151: 004/165 Charmander C (Non-Foil),80
004/165,[JAP] SV2a 151: 004/165 Charmander C (Reverse Holo),320
004/165,[JAP] SV2a 151: 004/165 Charmander C (Master Ball),4980
005/165,[JAP] SV2a 151: 005/165 Charmeleon U (Non-Foil),80
005/165,[JAP] SV2a 151: 005/165 Charmeleon U (Reverse Holo),220
005/165,[JAP] SV2a 151: 005/165 Charmeleon U (Master Ball),2480
006/165,[JAP] SV2a 151: 006/165 Charizard EX RR (Foil),220
007/165,[JAP] SV2a 151: 007/165 Squirtle C (Non-Foil),50
007/165,[JAP] SV2a 151: 007/165 Squirtle C (Reverse Holo),220
007/165,[JAP] SV2a 151: 007/165 Squirtle C (Master Ball),3980
008/165,[JAP] SV2a 151: 008/165 Wartotle U (Non-Foil),50
008/165,[JAP] SV2a 151: 008/165 Wartotle U (Reverse Holo),180
008/165,[JAP] SV2a 151: 008/165 Wartotle U (Master Ball),2480
009/165,[JAP] SV2a 151: 009/165 Blastoise EX RR (Foil),120
010/165,[JAP] SV2a 151: 010/165 Caterpie C (Non-Foil),30
010/165,[JAP] SV2a 151: 010/165 Caterpie C (Reverse Holo),120
010/165,[JAP] SV2a 151: 010/165 Caterpie C (Master Ball),1780
011/165,[JAP] SV2a 151: 011/165 Metapod C (Non-Foil),30
011/165,[JAP] SV2a 151: 011/165 Metapod C (Reverse Holo),120
011/165,[JAP] SV2a 151: 011/165 Metapod C (Master Ball),1780
012/165,[JAP] SV2a 151: 012/165 Butterfree U (Non-Foil),50
012/165,[JAP] SV2a 151: 012/165 Butterfree U (Reverse Holo),120
012/165,[JAP] SV2a 151: 012/165 Butterfree U (Master Ball),1780
013/165,[JAP] SV2a 151: 013/165 Weedle C (Non-Foil),30
013/165,[JAP] SV2a 151: 013/165 Weedle C (Reverse Holo),120
013/165,[JAP] SV2a 151: 013/165 Weedle C (Master Ball),1780
014/165,[JAP] SV2a 151: 014/165 Kakuna C (Non-Foil),30
014/165,[JAP] SV2a 151: 014/165 Kakuna C (Reverse Holo),120
014/165,[JAP] SV2a 151: 014/165 Kakuna C (Master Ball),1780
015/165,[JAP] SV2a 151: 015/165 Beedrill R (Foil),80
015/165,[JAP] SV2a 151: 015/165 Beedrill R (Reverse Holo),120
015/165,[JAP] SV2a 151: 015/165 Beedrill R (Master Ball),1780
016/165,[JAP] SV2a 151: 016/165 Pidgey C (Non-Foil),50
016/165,[JAP] SV2a 151: 016/165 Pidgey C (Reverse Holo),180
016/165,[JAP] SV2a 151: 016/165 Pidgey C (Master Ball),1980
017/165,[JAP] SV2a 151: 017/165 Pigeotto C (Non-Foil),30
017/165,[JAP] SV2a 151: 017/165 Pigeotto C (Reverse Holo),120
017/165,[JAP] SV2a 151: 017/165 Pigeotto C (Master Ball),1780
018/165,[JAP] SV2a 151: 018/165 Pigeot U (Non-Foil),50
018/165,[JAP] SV2a 151: 018/165 Pigeot U (Reverse Holo),120
018/165,[JAP] SV2a 151: 018/165 Pigeot U (Master Ball),1780
019/165,[JAP] SV2a 151: 019/165 Rattata C (Non-Foil),30
019/165,[JAP] SV2a 151: 019/165 Rattata C (Reverse Holo),120
019/165,[JAP] SV2a 151: 019/165 Rattata C (Master Ball),1780
020/165,[JAP] SV2a 151: 020/165 Raticate U (Non-Foil),50
020/165,[JAP] SV2a 151: 020/165 Raticate U (Reverse Holo),120
020/165,[JAP] SV2a 151: 020/165 Raticate U (Master Ball),1780
021/165,[JAP] SV2a 151: 021/165 Spearow C (Non-Foil),30
021/165,[JAP] SV2a 151: 021/165 Spearow C (Reverse Holo),120
021/165,[JAP] SV2a 151: 021/165 Spearow C (Master Ball),1780
022/165,[JAP] SV2a 151: 022/165 Fearow U (Non-Foil),50
022/165,[JAP] SV2a 151: 022/165 Fearow U (Reverse Holo),120
022/165,[JAP] SV2a 151: 022/165 Fearow U (Master Ball),1780
023/165,[JAP] SV2a 151: 023/165 Ekans C (Non-Foil),30
023/165,[JAP] SV2a 151: 023/165 Ekans C (Reverse Holo),120
023/165,[JAP] SV2a 151: 023/165 Ekans C (Master Ball),1780
024/165,[JAP] SV2a 151: 024/165 Arbok EX RR (Foil),120
025/165,[JAP] SV2a 151: 025/165 Pikachu C (Non-Foil),50
025/165,[JAP] SV2a 151: 025/165 Pikachu C (Reverse Holo),500
025/165,[JAP] SV2a 151: 025/165 Pikachu C (Master Ball),44800
026/165,[JAP] SV2a 151: 026/165 Raichu R (Foil),80
026/165,[JAP] SV2a 151: 026/165 Raichu R (Reverse Holo),120
026/165,[JAP] SV2a 151: 026/165 Raichu R (Master Ball),3980
027/165,[JAP] SV2a 151: 027/165 Sandshrew C (Non-Foil),30
027/165,[JAP] SV2a 151: 027/165 Sandshrew C (Reverse Holo),120
027/165,[JAP] SV2a 151: 027/165 Sandshrew C (Master Ball),1780
028/165,[JAP] SV2a 151: 028/165 Sandslash U (Non-Foil),50
028/165,[JAP] SV2a 151: 028/165 Sandslash U (Reverse Holo),120
028/165,[JAP] SV2a 151: 028/165 Sandslash U (Master Ball),1780
029/165,[JAP] SV2a 151: 029/165 Nidoran ♀ C (Non-Foil),30
029/165,[JAP] SV2a 151: 029/165 Nidoran ♀ C (Reverse Holo),120
029/165,[JAP] SV2a 151: 029/165 Nidoran ♀ C (Master Ball),1780
030/165,[JAP] SV2a 151: 030/165 Nidorina U (Non-Foil),50
030/165,[JAP] SV2a 151: 030/165 Nidorina U (Reverse Holo),120
030/165,[JAP] SV2a 151: 030/165 Nidorina U (Master Ball),1780
031/165,[JAP] SV2a 151: 031/165 Nidoqueen U (Non-Foil),50
031/165,[JAP] SV2a 151: 031/165 Nidoqueen U (Reverse Holo),120
031/165,[JAP] SV2a 151: 031/165 Nidoqueen U (Master Ball),1780
032/165,[JAP] SV2a 151: 032/165 Nidoran ♂ C (Non-Foil),30
032/165,[JAP] SV2a 151: 032/165 Nidoran ♂ C (Reverse Holo),120
032/165,[JAP] SV2a 151: 032/165 Nidoran ♂ C (Master Ball),1780
033/165,[JAP] SV2a 151: 033/165 Nidorino U (Non-Foil),50
033/165,[JAP] SV2a 151: 033/165 Nidorino U (Reverse Holo),120
033/165,[JAP] SV2a 151: 033/165 Nidorino U (Master Ball),1780
034/165,[JAP] SV2a 151: 034/165 Nidoking R (Foil),80
034/165,[JAP] SV2a 151: 034/165 Nidoking R (Reverse Holo),120
034/165,[JAP] SV2a 151: 034/165 Nidoking R (Master Ball),2480
035/165,[JAP] SV2a 151: 035/165 Clefairy C (Non-Foil),30
035/165,[JAP] SV2a 151: 035/165 Clefairy C (Reverse Holo),180
035/165,[JAP] SV2a 151: 035/165 Clefairy C (Master Ball),2480
036/165,[JAP] SV2a 151: 036/165 Clefable U (Non-Foil),50
036/165,[JAP] SV2a 151: 036/165 Clefable U (Reverse Holo),120
036/165,[JAP] SV2a 151: 036/165 Clefable U (Master Ball),2480
