ID,Name
001/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
001/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
002/091,[ENG] Pokemon SV4.5 Paldean Fates: [RR - Double Rare](Foil)
003/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
003/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
004/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
004/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
005/091,[ENG] Pokemon SV4.5 Paldean Fates: [RR - Double Rare](Foil)
006/091,[ENG] Pokemon SV4.5 Paldean Fates: [RR - Double Rare](Foil)
007/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
007/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
008/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Non-Foil)
008/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Reverse Holo)
009/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
009/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
010/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
010/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
011/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
011/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
012/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Non-Foil)
012/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Reverse Holo)
013/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Non-Foil)
013/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Reverse Holo)
014/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
014/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
015/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
015/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
016/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
016/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
017/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
017/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
018/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
018/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
019/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
019/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
020/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
020/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Reverse Holo)
021/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Non-Foil)
021/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Reverse Holo)
022/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Non-Foil)
022/091,[ENG] Pokemon SV4.5 Paldean Fates: [U - Uncommon](Reverse Holo)
023/091,[ENG] Pokemon SV4.5 Paldean Fates: [C - Common](Non-Foil)
