Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv04-paradox-rift-001-182-surskit-c-non-foil,[ENG]	SV04	Paradox Rift:	001/182	Surskit	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,18,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_1.jpg?v=1699330591,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-001-182-surskit-c-reverse-holo,[ENG]	SV04	Paradox Rift:	001/182	Surskit	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_2.jpg?v=1699330871,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-002-182-masquerain-u-non-foil,[ENG]	SV04	Paradox Rift:	002/182	Masquerain	U	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,'0,100.0,shopify,11,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_3.jpg?v=1699330977,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-002-182-masquerain-u-reverse-holo,[ENG]	SV04	Paradox Rift:	002/182	Masquerain	U	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_4.jpg?v=1699331484,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-003-182-froslass-ex-rr-foil,[ENG]	SV04	Paradox Rift:	003/182	Froslass ex	RR	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_5.jpg?v=1699331602,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-004-182-pansage-c-non-foil,[ENG]	SV04	Paradox Rift:	004/182	Pansage	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,15,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_6.jpg?v=1699331897,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-004-182-pansage-c-reverse-holo,[ENG]	SV04	Paradox Rift:	004/182	Pansage	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_7.jpg?v=1699410862,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-005-182-simisage-u-non-foil,[ENG]	SV04	Paradox Rift:	005/182	Simisage	U	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,14,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_8.jpg?v=1699410886,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-005-182-simisage-u-reverse-holo,[ENG]	SV04	Paradox Rift:	005/182	Simisage	U	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_9.jpg?v=1699410917,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-006-182-dwebble-c-non-foil,[ENG]	SV04	Paradox Rift:	006/182	Dwebble	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,13,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_10.jpg?v=1699410945,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-006-182-dwebble-c-reverse-holo,[ENG]	SV04	Paradox Rift:	006/182	Dwebble	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_11.jpg?v=1699410974,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-007-182-crustle-c-non-foil,[ENG]	SV04	Paradox Rift:	007/182	Crustle	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,7,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_12.jpg?v=1699411023,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-007-182-crustle-c-reverse-holo,[ENG]	SV04	Paradox Rift:	007/182	Crustle	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_13.jpg?v=1699411053,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-008-182-bounsweet-c-non-foil,[ENG]	SV04	Paradox Rift:	008/182	Bounsweet	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,'20,100.0,shopify,20,deny,manual,0.7,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_14.jpg?v=1699411081,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-008-182-bounsweet-c-reverse-holo,[ENG]	SV04	Paradox Rift:	008/182	Bounsweet	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_15.jpg?v=1699411103,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-009-182-steenee-u-non-foil,[ENG]	SV04	Paradox Rift:	009/182	Steenee	U	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,'16,100.0,shopify,16,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_16.jpg?v=1699411122,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-009-182-steenee-u-reverse-holo,[ENG]	SV04	Paradox Rift:	009/182	Steenee	U	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_17.jpg?v=1699411150,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv04-paradox-rift-010-182-blipbug-c-non-foil,[ENG]	SV04	Paradox Rift:	010/182	Blipbug	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,16,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/ParadoxRiftSawadeekard1PokemonTradingCardGameScarletVioletRoaringMoonIronValiantOnlineSingapore_18.jpg?v=1699411172,1.0,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
