Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv3-5-151-001-165-bulbasaur-c-non-foil,[ENG]	SV3.5	151:	001/165	Bulbasaur	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,25,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/5_26fad7db-df87-46d0-b268-af3ac02f934f.png?v=1704635955,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-001-165-bulbasaur-c-reverse-holo,[ENG]	SV3.5	151:	001/165	Bulbasaur	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,10,deny,manual,1.1,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/6_36e3c2e6-c90d-415e-acc6-06d74441782a.png?v=1704636080,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-002-165-ivysaur-u-non-foil,[ENG]	SV3.5	151:	002/165	Ivysaur	            U	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,19,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/7_b10b0af0-04f7-410c-ab33-482fff69ac2b.png?v=1704636157,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-002-165-ivysaur-u-reverse-holo,[ENG]	SV3.5	151:	002/165	Ivysaur 	U	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,8,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/8_4e7c8fa3-f138-4262-a50c-c923c384cf52.png?v=1704636200,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-003-165-venusaur-rr-foil,[ENG]	SV3.5	151:	003/165	Venusaur EX	RR	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,3.3,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/9_97f6d3d2-79df-4049-8b4b-7f7d45bd031d.png?v=1704636227,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-004-165-charmander-c-non-foil,[ENG]	SV3.5	151:	004/165	Charmander	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,16,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/10_370514a3-4141-47e0-9eaf-ebf3ffb998a1.png?v=1704636276,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-004-165-charmander-c-reverse-holo,[ENG]	SV3.5	151:	004/165	Charmander	C	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,12,deny,manual,1.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/11_1842437d-b554-43cb-b6c2-3a9ad80e52f9.png?v=1704636338,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-005-165-charmeleon-u-non-foil,[ENG]	SV3.5	151:	005/165	Charmeleon	U	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,17,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/12_02a68ea2-20e8-45ee-955e-f9147d7dcf14.png?v=1704636364,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-005-165-charmeleon-u-reverse-holo,[ENG]	SV3.5	151:	005/165	Charmeleon	U	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,7,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/13_d27aef52-9f6e-4b10-93d5-cfda0bab459e.png?v=1704636393,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-006-165-charizard-ex-rr-foil,[ENG]	SV3.5	151:	006/165	Charizard EX	RR	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,6.7,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/14_595cbbe0-4fb7-42ae-bc6e-655ed2797af5.png?v=1704636854,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv3-5-151-007-165-squirtle-c-non-foil,[ENG]	SV3.5	151:	007/165	Squirtle	C	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Water",True,Title,Default Title,,,,,,,,,100.0,shopify,13,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/15_466c7404-aaaa-47ce-ba75-2389a4db29ef.png?v=1704636573,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
