ID,Name
001/091,[ENG] Pokemon SV4.5 Paldean Fates: 001/091 Pineco [C - Common](Non-Foil)
001/091,[ENG] Pokemon SV4.5 Paldean Fates: 001/091 Pineco [C - Common](Reverse Holo)
002/091,[ENG] Pokemon SV4.5 Paldean Fates: 002/091 Forretress ex [RR - Double Rare](Foil)
003/091,[ENG] Pokemon SV4.5 Paldean Fates: 003/091 Maractus [C - Common](Non-Foil)
003/091,[ENG] Pokemon SV4.5 Paldean Fates: 003/091 Maractus [C - Common](Reverse Holo)
004/091,[ENG] Pokemon SV4.5 Paldean Fates: 004/091 Toedscool [C - Common](Non-Foil)
004/091,[ENG] Pokemon SV4.5 Paldean Fates: 004/091 Toedscool [C - Common](Reverse Holo)
005/091,[ENG] Pokemon SV4.5 Paldean Fates: 005/091 Toedscruel ex [RR - Double Rare](Foil)
006/091,[ENG] Pokemon SV4.5 Paldean Fates: 006/091 Espathra ex [RR - Double Rare](Foil)
007/091,[ENG] Pokemon SV4.5 Paldean Fates: 007/091 Charmander [C - Common](Non-Foil)
007/091,[ENG] Pokemon SV4.5 Paldean Fates: 007/091 Charmander [C - Common](Reverse Holo)
008/091,[ENG] Pokemon SV4.5 Paldean Fates: 008/091 Charmeleon [U - Uncommon](Non-Foil)
008/091,[ENG] Pokemon SV4.5 Paldean Fates: 008/091 Charmeleon [U - Uncommon](Reverse Holo)
009/091,[ENG] Pokemon SV4.5 Paldean Fates: 009/091 Magmar [C - Common](Non-Foil)
009/091,[ENG] Pokemon SV4.5 Paldean Fates: 009/091 Magmar [C - Common](Reverse Holo)
010/091,[ENG] Pokemon SV4.5 Paldean Fates: 010/091 Magmortar [C - Common](Non-Foil)
010/091,[ENG] Pokemon SV4.5 Paldean Fates: 010/091 Magmortar [C - Common](Reverse Holo)
011/091,[ENG] Pokemon SV4.5 Paldean Fates: 011/091 Numel [C - Common](Non-Foil)
011/091,[ENG] Pokemon SV4.5 Paldean Fates: 011/091 Numel [C - Common](Reverse Holo)
012/091,[ENG] Pokemon SV4.5 Paldean Fates: 012/091 Camerupt [U - Uncommon](Non-Foil)
012/091,[ENG] Pokemon SV4.5 Paldean Fates: 012/091 Camerupt [U - Uncommon](Reverse Holo)
013/091,[ENG] Pokemon SV4.5 Paldean Fates: 013/091 Heat Rotom [U - Uncommon](Non-Foil)
013/091,[ENG] Pokemon SV4.5 Paldean Fates: 013/091 Heat Rotom [U - Uncommon](Reverse Holo)
014/091,[ENG] Pokemon SV4.5 Paldean Fates: 014/091 Charcadet [C - Common](Non-Foil)
014/091,[ENG] Pokemon SV4.5 Paldean Fates: 014/091 Charcadet [C - Common](Reverse Holo)
015/091,[ENG] Pokemon SV4.5 Paldean Fates: 015/091 Armarouge [C - Common](Non-Foil)
015/091,[ENG] Pokemon SV4.5 Paldean Fates: 015/091 Armarouge [C - Common](Reverse Holo)
016/091,[ENG] Pokemon SV4.5 Paldean Fates: 016/091 Lapras [C - Common](Non-Foil)
016/091,[ENG] Pokemon SV4.5 Paldean Fates: 016/091 Lapras [C - Common](Reverse Holo)
