ID,Name,Price in USD,Price in SGD
001/091,Pineco [Grass] [C - Common] (Non-Foil),0.25,0.5
001/091,Pineco [Grass] [C - Common] (Reverse Holo),0.35,1.0
002/091,Forrestress ex [Grass] [RR - Double Rare] (Foil),1.49,2.0
003/091,Maractus [Grass] [C - Common] (Non-Foil),0.25,0.5
003/091,Maractus [Grass] [C - Common] (Reverse Holo),0.35,1.0
004/091,Toedscool [Grass] [C - Common] (Non-Foil),0.25,0.5
004/091,Toedscool [Grass] [C - Common] (Reverse Holo),0.35,1.0
005/091,Toedscruel ex [Grass] [RR - Double Rare] (Foil),1.49,2.0
006/091,Espathra ex [Grass] [RR - Double Rare] (Foil),1.49,2.0
007/091,Charmander [Fire] [C - Common] (Non-Foil),0.25,0.5
007/091,Charmander [Fire] [C - Common] (Reverse Holo),0.35,1.0
008/091,Charmeleon [Fire] [U - Uncommon] (Non-Foil),0.49,0.7
008/091,Charmeleon [Fire] [U - Uncommon] (Reverse Holo),0.99,1.3
009/091,Magmar [Fire] [C - Common] (Non-Foil),0.25,0.5
009/091,Magmar [Fire] [C - Common] (Reverse Holo),0.35,1.0
010/091,Magmortar [Fire] [R - Rare] (Foil),0.35,0.5
010/091,Magmortar [Fire] [R - Rare] (Reverse Holo),0.35,1.0
011/091,Numel [Fire] [C - Common] (Non-Foil),0.25,0.5
011/091,Numel [Fire] [C - Common] (Reverse Holo),0.35,1.0
012/091,Camerupt [Fire] [U - Uncommon] (Non-Foil),0.25,0.5
012/091,Camerupt [Fire] [U - Uncommon] (Reverse Holo),0.49,1.0
013/091,Heat Rotom [Fire] [R - Rare] (Foil),0.35,0.5
013/091,Heat Rotom [Fire] [R - Rare] (Reverse Holo),0.35,1.0
014/091,Charcadet [Fire] [C - Common] (Non-Foil),0.25,0.5
014/091,Charcadet [Fire] [C - Common] (Reverse Holo),0.35,1.0
015/091,Armarouge [Fire] [R - Rare] (Foil),0.35,0.5
015/091,Armarouge [Fire] [R - Rare] (Reverse Holo),0.35,1.0
016/091,Lapras [Water] [C - Common] (Non-Foil),0.25,0.5
016/091,Lapras [Water] [C - Common] (Reverse Holo),0.35,1.0
017/091,Frigibax [Water] [C - Common] (Non-Foil),0.39,0.5
017/091,Frigibax [Water] [C - Common] (Reverse Holo),0.39,1.0
018/091,Pikachu [Lightning] [C - Common] (Non-Foil),0.49,0.7
018/091,Pikachu [Lightning] [C - Common] (Reverse Holo),0.35,1.0
019/091,Raichu [Lightning] [R - Rare] (Foil),0.35,0.5
019/091,Raichu [Lightning] [R - Rare] (Reverse Holo),0.35,1.0
020/091,Chinchou [Lightning] [C - Common] (Non-Foil),0.25,0.5
020/091,Chinchou [Lightning] [C - Common] (Reverse Holo),0.35,1.0
021/091,Lanturn [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
021/091,Lanturn [Lightning] [U - Uncommon] (Reverse Holo),0.49,1.0
022/091,Kilowattrel [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
022/091,Kilowattrel [Lightning] [U - Uncommon] (Reverse Holo),0.49,1.0
023/091,Exeggcute [Psychic] [C - Common] (Non-Foil),0.25,0.5
023/091,Exeggcute [Psychic] [C - Common] (Reverse Holo),0.35,1.0
024/091,Exeggutor [Psychic] [R - Rare] (Foil),0.35,0.5
024/091,Exeggutor [Psychic] [R - Rare] (Reverse Holo),0.35,1.0
025/091,Natu [Psychic] [C - Common] (Non-Foil),0.59,0.8
025/091,Natu [Psychic] [C - Common] (Reverse Holo),0.39,1.0
026/091,Xatu [Psychic] [R - Rare] (Foil),0.99,1.3
026/091,Xatu [Psychic] [R - Rare] (Reverse Holo),0.89,1.2
027/091,Ralts [Psychic] [C - Common] (Non-Foil),0.35,0.5
027/091,Ralts [Psychic] [C - Common] (Reverse Holo),0.35,1.0
028/091,Kirlia [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
028/091,Kirlia [Psychic] [U - Uncommon] (Reverse Holo),0.39,1.0
029/091,Gardevoir ex [Psychic] [RR - Double Rare] (Foil),1.49,2.0
030/091,Chimecho [Psychic] [C - Common] (Non-Foil),0.25,0.5
030/091,Chimecho [Psychic] [C - Common] (Reverse Holo),0.35,1.0
031/091,Mime Jr. [Psychic] [C - Common] (Non-Foil),0.25,0.5
031/091,Mime Jr. [Psychic] [C - Common] (Reverse Holo),0.35,1.0
032/091,Woobat [Psychic] [C - Common] (Non-Foil),0.25,0.5
032/091,Woobat [Psychic] [C - Common] (Reverse Holo),0.35,1.0
033/091,Swoobat [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
033/091,Swoobat [Psychic] [U - Uncommon] (Reverse Holo),0.49,1.0
034/091,Cottonee [Psychic] [C - Common] (Non-Foil),0.25,0.5
034/091,Cottonee [Psychic] [C - Common] (Reverse Holo),0.35,1.0
035/091,Whimsicott [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
035/091,Whimsicott [Psychic] [U - Uncommon] (Reverse Holo),0.35,1.0
036/091,Dedenne [Psychic] [C - Common] (Non-Foil),0.25,0.5
036/091,Dedenne [Psychic] [C - Common] (Reverse Holo),0.35,1.0
037/091,Mimikyu [Psychic] [R - Rare] (Foil),0.35,0.5
037/091,Mimikyu [Psychic] [R - Rare] (Reverse Holo),0.69,1.0
038/091,Fidough [Psychic] [C - Common] (Non-Foil),0.35,0.5
038/091,Fidough [Psychic] [C - Common] (Reverse Holo),0.35,1.0
039/091,Dachsbun [Psychic] [U - Uncommon] (Non-Foil),0.25,0.5
039/091,Dachsbun [Psychic] [U - Uncommon] (Reverse Holo),0.39,1.0
040/091,Ceruledge [Psychic] [R - Rare] (Foil),0.35,0.5
040/091,Ceruledge [Psychic] [R - Rare] (Reverse Holo),0.35,1.0
