Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-pokemon-sv4-5-paldean-fates-001-091-pineco-grass-c-common-non-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	001/091	Pineco	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_5.jpg?v=1716961497,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-001-091-pineco-grass-c-common-reverse-holo,[ENG]	Pokemon	SV4.5	Paldean Fates:	001/091	Pineco	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_6.jpg?v=1716961541,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-002-091-forrestress-ex-grass-rr-double-rare-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	002/091	Forrestress ex	[Grass]	[RR - Double Rare]	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_7.jpg?v=1716961559,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-003-091-maractus-grass-c-common-non-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	003/091	Maractus	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,3,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_8.jpg?v=1716961588,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-003-091-maractus-grass-c-common-reverse-holo,[ENG]	Pokemon	SV4.5	Paldean Fates:	003/091	Maractus	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_9.jpg?v=1716961612,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-004-091-toedscool-grass-c-common-non-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	004/091	Toedscool	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,7,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_11.jpg?v=1716961647,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-004-091-toedscool-grass-c-common-reverse-holo,[ENG]	Pokemon	SV4.5	Paldean Fates:	004/091	Toedscool	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_12.jpg?v=1716961678,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-005-091-toedscruel-ex-grass-rr-double-rare-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	005/091	Toedscruel ex	[Grass]	[RR - Double Rare]	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_13.jpg?v=1716961695,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-006-091-espathra-ex-grass-rr-double-rare-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	006/091	Espathra ex	[Grass]	[RR - Double Rare]	(Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Foil, Rarity: Double Rare (RR), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,2.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_10.jpg?v=1716961720,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-pokemon-sv4-5-paldean-fates-007-091-charmander-fire-c-common-non-foil,[ENG]	Pokemon	SV4.5	Paldean Fates:	007/091	Charmander	[Fire]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Fire",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/SawadeekardPaldeanFatesPokemonSV4.5BabyShinySingaporeScarletVioletOnlineTCGMasterset_15.jpg?v=1716961795,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
