ID,Name,Price in USD,Price in SGD
001/167,Tangela [Grass] [C - Common] (Non-Foil),0.25,0.5
001/167,Tangela [Grass] [C - Common] (Reverse Holo),0.35,1.0
002/167,Tangrowth [Grass] [C - Common] (Non-Foil),0.25,0.5
002/167,Tangrowth [Grass] [C - Common] (Reverse Holo),0.39,1.0
003/167,Pinsir [Grass] [C - Common] (Non-Foil),0.25,0.5
003/167,Pinsir [Grass] [C - Common] (Reverse Holo),0.39,1.0
004/167,Spinarak [Grass] [C - Common] (Non-Foil),0.25,0.5
004/167,Spinarak [Grass] [C - Common] (Reverse Holo),0.39,1.0
005/167,Ariados [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
005/167,Ariados [Grass] [U - Uncommon] (Reverse Holo),0.49,1.0
006/167,Sunkern [Grass] [C - Common] (Non-Foil),0.25,0.5
006/167,Sunkern [Grass] [C - Common] (Reverse Holo),0.49,1.0
007/167,Sunflora [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
007/167,Sunflora [Grass] [U - Uncommon] (Reverse Holo),0.39,1.0
008/167,Heracross [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
008/167,Heracross [Grass] [U - Uncommon] (Reverse Holo),0.39,1.0
009/167,Volbeat [Grass] [C - Common] (Non-Foil),0.25,0.5
009/167,Volbeat [Grass] [C - Common] (Reverse Holo),0.35,1.0
010/167,Illumise [Grass] [C - Common] (Non-Foil),0.25,0.5
010/167,Illumise [Grass] [C - Common] (Reverse Holo),0.39,1.0
011/167,Leafeon [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
011/167,Leafeon [Grass] [U - Uncommon] (Reverse Holo),0.39,1.0
012/167,Phantump [Grass] [C - Common] (Non-Foil),0.25,0.5
012/167,Phantump [Grass] [C - Common] (Reverse Holo),0.35,1.0
013/167,Trevenant [Grass] [C - Common] (Non-Foil),0.25,0.5
013/167,Trevenant [Grass] [C - Common] (Reverse Holo),0.35,1.0
014/167,Grookey [Grass] [C - Common] (Non-Foil),0.25,0.5
014/167,Grookey [Grass] [C - Common] (Reverse Holo),0.49,1.0
015/167,Thwackey [Grass] [C - Common] (Non-Foil),0.25,0.5
015/167,Thwackey [Grass] [C - Common] (Reverse Holo),0.49,1.0
016/167,Rillaboom [Grass] [C - Common] (Non-Foil),0.25,0.5
016/167,Rillaboom [Grass] [C - Common] (Reverse Holo),0.39,1.0
017/167,Applin [Grass] [C - Common] (Non-Foil),0.25,0.5
017/167,Applin [Grass] [C - Common] (Reverse Holo),0.39,1.0
018/167,Dipplin [Grass] [U - Uncommon] (Non-Foil),0.25,0.5
018/167,Dipplin [Grass] [U - Uncommon] (Reverse Holo),0.49,1.0
019/167,Iron Leaves [Grass] [R - Rare] (Foil),0.49,0.7
019/167,Iron Leaves [Grass] [R - Rare] (Reverse Holo),0.75,1.0
020/167,Poltchageist [Grass] [C - Common] (Non-Foil),0.25,0.5
020/167,Poltchageist [Grass] [C - Common] (Reverse Holo),0.35,1.0
021/167,Poltchageist [Grass] [C - Common] (Non-Foil),0.25,0.5
021/167,Poltchageist [Grass] [C - Common] (Reverse Holo),0.39,1.0
022/167,Sinistcha [Grass] [R - Rare] (Foil),0.49,0.7
022/167,Sinistcha [Grass] [R - Rare] (Reverse Holo),0.75,1.0
023/167,Sinistcha ex [Grass] [RR - Double Rare] (Foil),1.49,2.0
024/167,Teal Mask Ogerpon [Grass] [R - Rare] (Foil),0.75,1.0
024/167,Teal Mask Ogerpon [Grass] [R - Rare] (Reverse Holo),0.75,1.0
025/167,Teal Mask Ogerpon ex [Grass] [RR - Double Rare] (Foil),10.99,14.8
026/167,Vulpix [Fire] [C - Common] (Non-Foil),0.25,0.5
026/167,Vulpix [Fire] [C - Common] (Reverse Holo),0.39,1.0
027/167,Ninetales [Fire] [C - Common] (Non-Foil),0.25,0.5
027/167,Ninetales [Fire] [C - Common] (Reverse Holo),0.49,1.0
028/167,Slugma [Fire] [C - Common] (Non-Foil),0.25,0.5
028/167,Slugma [Fire] [C - Common] (Reverse Holo),0.39,1.0
029/167,Magcargo ex [Fire] [RR - Double Rare] (Foil),1.49,2.0
030/167,Torkoal [Fire] [C - Common] (Non-Foil),0.25,0.5
030/167,Torkoal [Fire] [C - Common] (Reverse Holo),0.35,1.0
031/167,Chimchar [Fire] [C - Common] (Non-Foil),0.25,0.5
031/167,Chimchar [Fire] [C - Common] (Reverse Holo),0.39,1.0
032/167,Monferno [Fire] [C - Common] (Non-Foil),0.25,0.5
032/167,Monferno [Fire] [C - Common] (Reverse Holo),0.39,1.0
033/167,Infernape [Fire] [R - Rare] (Foil),0.49,0.7
033/167,Infernape [Fire] [R - Rare] (Reverse Holo),0.69,1.0
034/167,Darumaka [Fire] [C - Common] (Non-Foil),0.25,0.5
034/167,Darumaka [Fire] [C - Common] (Reverse Holo),0.39,1.0
035/167,Darmanitan [Fire] [U - Uncommon] (Non-Foil),0.25,0.5
035/167,Darmanitan [Fire] [U - Uncommon] (Reverse Holo),0.35,1.0
